"County","Title","Category","GPS","Directions","Text"
"Adair","Mayes","Barren","N/A","4 miles south, 2 1/2 miles west of Stilwell","The town ceased to exist after Stilwell was developed"
"Adair","Piney","Barren","35.884574, -94.541608","5 miles north, 5 miles east of Stilwell; 7 miles south, 1 mile east of Westville","N/A"
"Adair","Titantic","Barren","35.900870, -94.772033","N/A","Post Office existed from Jan. 3, 1916 to Dec. 31, 1929"
"Adair","Wauhillau","Unknown","35.856159, -94.773631","N/A","Post office existed from Feb. 13, 1879 to Mar. 15, 1935"
"Adair","Zion","Semi-Abandoned","35.782565, -94.634937","N/A","While there is still a population of 48 according to the 2000 census, the post office has not existed for over 100 years.  Post office was from July 20, 1891 to May 31, 1906."
"Alfalfa","Ingersoll","Unknown","36.796419, -98.394796","N/A","The post office was established September 13, 1901, and discontinued December 31, 1942. The Ingersoll Tile Elevator is on the National Register of Historic Places."
"Alfalfa","Lambert","Semi-Abandoned","36.683110, -98.423137","N/A","Named for Ambrose Lambert who owned the original townsite, Lambert is contiguous to Yewed to its east. Lambert was a US Post Office from 1901 until 1952."
"Alfalfa","Yewed","Semi-Abandoned","N/A","4 miles south, 3 miles west of Cherokee","Post office: Dec. 24, 1898 - April 30, 1952  Shortly after the victory of Admiral Dewey at Manilla Bay in 1898, an application for a rural post office was originally made it was under the name Dewey.  Because there was already a Dewey, the name was reversed to Yedew.  Probably no more than 50 people ever lived in the town at one time.  Most of the activities revolved around the grain elevator and mill.  A few small stores and churches have existed, but no school was ever built."
"Atoka","Boggy Depot","Barren","34.316635, -96.307244","N/A","An important town in the Choctaw Nation, Indian Territory, Boggy Depot (sometimes called Old Boggy Depot) was situated between the Clear Boggy and Sandy creeks, fourteen miles southwest of present Atoka in Atoka County. Founded by Chickasaw Indians in 1837, it stood along the Texas Road and a trail that led from Fort Smith, Arkansas, to Fort Washita and was a station on the Butterfield Overland Mail route. Boggy Depot's post office opened in 1849, and the local newspaper was the Choctaw and Chickasaw Observer.  Boggy Depot was the location of the first Chickasaw agency in the West and served as the capital of the Choctaw Nation from 1858 to 1860. During the Civil War it housed the principal Confederate supply depot in Indian Territory. After the war a flour mill and a cotton gin operated northeast of town, and a salt works was established along nearby Salt Creek.  The Missouri, Kansas and Texas Railway bypassed Boggy Depot in 1872, prompting businessmen and residents to relocate to Atoka. Others moved two miles south and founded New Boggy Depot (present Boggy Depot). Nothing remains of Old Boggy Depot except its cemetery, where Choctaw chief Allen Wright and Rev. Cyrus Kingsbury are buried. The townsite, presently located in Boggy Depot State Park, is listed in the National Register of Historic Places (NR 72001050).  Source: Encyclopedia of Oklahoma History & Culture"
"Atoka","Bruno","Unknown","N/A","N/A","N/A"
"Atoka","Chockie","Barren","34.582083, -95.998221","N/A","The Chockie post office closed in 1937. The community was named for Chickie and Chockie LeFlore, daughters of Charles LeFlore, a prominent Choctaw Indians."
"Atoka","Daisy","Unknown","34.535845, -95.740083","N/A","Daisy is a small unincorporated community in Atoka County, Oklahoma, United States, along State Highway 43. Located in the northeastern part of the county, Daisy was once a thriving community with a general store, school and other institutions. The post office was opened April 5, 1906. It is said to have been named for Daisy Beck, a local girl.  The most famous person from Daisy is Clarence Carnes, who had eighteen was the youngest inmate ever sent to Alcatraz. He is buried on the Indian land not far from Daisy."
"Atoka","Harmony","Unknown","N/A","N/A","N/A"
"Atoka","Limestone Gap","Barren","34.599209, -95.973216","N/A","N/A"
"Atoka","Lone Pine","Unknown","N/A","N/A","N/A"
"Atoka","Mt. Olive","Unknown","N/A","N/A","N/A"
"Atoka","Negro Bend","Barren","34.326094, -95.935386","N/A","Like many of the segregated settlements established before 1900, not much written history exists on them.  This is one of those cases.  Evidence of this establishment exist on maps prior to 1880."
"Atoka","Reddon","Barren","N/A","N/A","Redden was a small town located in northeastern Atoka County, Oklahoma, United States, on State Highway 43, about 13 miles northeast of Stringtown.  The Postal Service established a post office on June 1, 1903, in what was then Atoka County, Choctaw Nation, Indian Territory. It was named for John A. Redden (1873), a local resident who was appointed the first postmaster. The Statehood Proclamation was signed November 16, 1907. The post office at Redden, Oklahoma, was closed permanently on October 31, 1954.Much like Daisy, Redden was once a firmly established, thriving community. However, Redden is now little more than a small dot on the map. All that remains of the old town is the Redden Cemetery, fenced and well kept, and the ruins of the schoolhouse standing on the side of the road."
"Atoka","Wards Chapel","Barren","34.366398, -96176849","N/A","N/A"
"Atoka","Wardville","Semi-Abandoned","34.653887, -96.030276","N/A","Wardville is a small unincorporated community in northern Atoka County, Oklahoma, United States, along State Highway 131 14 miles northeast of Coalgate, Oklahoma. The post office was established February 6, 1902 under the name Herbert, Oklahoma. The town was named after Herbert Ward, who was the youngest son of the towns first postmaster, Henry Pleasant Ward.  The name of the town was changed to Wardville on July 18, 1907. Wardville was named for the before mentioned Henry Pleasant Ward, who served in the territorial House of Representatives and Senate and was an Atoka County judge. The Wardville Post Office opened Feb. 6, 1902 and closed Dec. 19, 2009."
"Atoka","Wesley","Unknown","N/A","N/A","N/A"
"Beaver","Benton","Barren","36.779067, -100.218019","3 miles South & 18 miles East of Beaver","Founded in the early 1880s, had become an important cultural center near the eastern edge of the Panhandle by 1886.  The town had a large general store, drugstore, hotel and livery stable, two saloons, and a blacksmith shop.  Although there was no official officer of the law, there was an active vigilante committee.  A school house was built of sod and regular terms of subscription school were held.  Church meetings were also held in the school house.  In 1888 the Benton County Banner, a weekly paper, started publication.  Many of the homes in Benton were built of sod from nearby prairie.  Most homes had wood floors and window sills.  Before the Panhandle became part of Oklahoma Territory in 1890, it leaders organized Cimarron Territory, designated Beaver City the capital, and wrote a constitution in which the Public Land Strip was divided into seven counties.  The easternmost county was Benton, and the town of Benton was named the county seat.  The area was eventually abandoned and allowed to revert back into pasture land."
"Beaver","Elmwood","Unknown","36.616229, -100.522936","N/A","Elmwood is a small unincorporated community located at the junction of US Highway 270 and US Highway 412 in Beaver County, Oklahoma, United States. The Post Office was opened January 26, 1888. Closed May 31, 1986."
"Beaver","Knowles","Semi-Abandoned","36.873299, -100.193481","N/A","Knowles is a town in Beaver County, Oklahoma, United States. The population was 32 at the 2000 census.  Post Office closed Jan. 3, 2004"
"Beaver","Logan","Barren","36.572631, -100.217179","N/A","Post office closed June 8, 1996."
"Beaver","Mocane","Barren","36.893689, -100.373055","N/A","Not known at this time.  A sign marking it's presence is all the remains on site."
"Beaver","Slapout","Semi-Abandoned","36.61601, -100.10875","N/A","N/A"
"Beaver","Sod Town","Unknown","N/A","N/A","N/A"
"Beckham","Delhi","Unknown","35.174966, -99.67712","N/A","N/A"
"Beckham","Hext","Barren","35.24825, -99.75281","N/A","N/A"
"Beckham","Mayfield","Unknown","35.33890, -99.87649","N/A","N/A"
"Beckham","New Liberty","Unknown","35.36380, -99.71741","N/A","N/A"
"Beckham","Texola","Semi-Abandoned","35.219222,  -99.991243","Take exit 1 off of I-40 and go south.","Post office closed in 2009.  Today not much of the town is left.  There are still a few residents and some abandoned buildings."
"Blaine","Bickford","Barren","N/A","6 1/2 miles north of Watonga","Post Office: Nov. 2, 1904 - Nov. 30, 1927  Railroad: Enid and Anadarko Railway (Rock Island), abandoned 1926  Bickford was a company-built, company-owned town located in Roman Nose Canyon.  The canyon walls are topped by thick layers of gypsum suitable for the making of all kinds of plaster, wallboard, and cement blocks.  There the Roman Nose Gypsum Company built a large mill, a commissary, several homes, a hotel for single employees, pipelines for water, and other items needed by the inhabitants.  A rairoad line was extended to the village.  In the 1920s the mill was closed for economic reasons and soon thereafter the town was deserted.  The area is now known as Roman Nose State Park."
"Blaine","Eagle City","Semi-Abandoned","35.933084,-98.586812","6 1/2 miles north, 10 miles west of Watonga","Post Office: Dillon, July 26, 1902 - September 4, 1909; Eagle City September 4, 1909 - ?  There was trouble with the post office.  The first one was named Dillon.  Eagle City was not acceptable as a name because of its similarity to Eagletown.  Eventually the name was changed.  Today very little remains of Eagle City.  Mostly just a few homes.  Much of the old abandoned retail district was lost to wild fires a few years ago."
"Bryan","Academy","Unknown","N/A","N/A","N/A"
"Caddo","Albert","Semi-Abandoned","35.233073,-98.412074","N/A","N/A"
"Caddo","Bridgeport","Semi-Abandoned","35.546123,-98.384499","N/A","Town was once an important ferry route from east to west.  A water feud between residents on the east and west side of the town was the beginning to the end for the town.  Later when Rt. 66 bypassed the town a mile to the south, it pretty much spelled the end for the town.  Today very little remains.  Only a few homes and a church."
"Canadian","Frisco","Unknown","N/A","N/A","N/A"
"Canadian","Reno City","Unknown","N/A","N/A","N/A"
"Carter","Gene Autry","Semi-Abandoned","34.281858, -97.036927","7 miles north, 5 miles east of Ardmore","Gene Autry is an old village with a relatively new name.  It has had several names through the years.  It was first known as Lou and had a post office from July 1883 to November 1883.  It was then known as Dresden and its post office was from November 1883 to September 1887.  Later when the Gulf, Colorado and Santa Fe rail road through the area about one mile from the area the town relocated the post office next to the tracks and was renamed Berwyn.  That post office operated from September 1887 to January 1942.  In January 1942 the name of the post office was changed for the last time to Gene Autry.  The town had changed its name November 4, 1941 to Gene Autry.  The town pretty much died after the inactivation of the Ardmore air base."
